bank_txn_id,amount,value_date,narration,true_settlement_id
BANK9001,243.27,2026-07-25,NEFT/RAZORPAY/ORD1001/SETL,SETL5001
BANK9002,487.24,2026-07-04,RZRPAY SETTLEMENT CR,SETL5002
BANK9003,2927.93,2026-07-20,NEFT/RAZORPAY/ORD1003/SETL,SETL5003
BANK9004,-112.46,2026-08-08,NEFT/RAZORPAY/REFUND/ORD1004,SETL5005
BANK9005,244.02,2026-08-05,NEFT/RAZORPAY/ORD1004/SETL,SETL5004
BANK9006,2927.78,2026-07-14,RZRPAY SETTLEMENT CR,SETL5006
BANK9007,1463.16,2026-08-11,RZRPAY SETTLEMENT CR,SETL5007
BANK9008,973.72,2026-08-09,NEFT/RAZORPAY/ORD1007/SETL,SETL5008
BANK9009,1951.98,2026-08-08,RZRPAY SETTLEMENT CR,SETL5009
BANK9010,241.77,2026-07-13,RZRPAY SETTLEMENT CR,SETL5010
BANK9011,243.83,2026-07-09,NEFT/RAZORPAY/ORD1010/SETL,SETL5011
BANK9012,2927.30,2026-08-05,NEFT/RAZORPAY/ORD1011/SETL,SETL5012
BANK9013,4879.71,2026-08-06,NEFT/RAZORPAY/ORD1012/SETL,SETL5013
BANK9014,1953.57,2026-07-10,NEFT/RAZORPAY/ORD1013/SETL,SETL5015
BANK9015,4881.44,2026-07-16,NEFT/RAZORPAY/ORD1014/SETL,SETL5016
BANK9016,1459.64,2026-07-24,RZRPAY SETTLEMENT CR,SETL5017
BANK9017,1950.80,2026-08-15,NEFT/RAZORPAY/ORD1016/SETL,SETL5019
BANK9018,2929.96,2026-07-30,RZRPAY SETTLEMENT CR,SETL5020
BANK9019,485.12,2026-08-05,NEFT/RAZORPAY/ORD1018/SETL,SETL5021
BANK9020,4879.13,2026-07-07,NEFT/RAZORPAY/ORD1019/SETL,SETL5022
BANK9021,1462.71,2026-08-01,RZRPAY SETTLEMENT CR,SETL5023
BANK9022,2928.39,2026-07-23,NEFT/RAZORPAY/ORD1021/SETL,SETL5024
BANK9023,4879.99,2026-07-12,NEFT/RAZORPAY/ORD1022/SETL,SETL5026
BANK9024,974.27,2026-08-16,NEFT/RAZORPAY/ORD1023/SETL,SETL5027
BANK9025,1953.76,2026-07-07,NEFT/RAZORPAY/ORD1024/SETL,SETL5028
BANK9026,4881.19,2026-07-22,RZRPAY SETTLEMENT CR,SETL5029
BANK9027,973.92,2026-07-09,NEFT/RAZORPAY/ORD1026/SETL,SETL5031
BANK9028,4879.27,2026-08-11,RZRPAY SETTLEMENT CR,SETL5032
BANK9029,-1348.17,2026-07-04,RZRPAY REFUND DR,SETL5034
BANK9030,1493.25,2026-07-03,NEFT/RAZORPAY/ORD1028/SETL (split),SETL5033
BANK9031,1434.70,2026-07-02,NEFT/RAZORPAY/ORD1028/SETL (split),SETL5033
BANK9032,4879.71,2026-07-21,NEFT/RAZORPAY/ORD1029/SETL,SETL5035
BANK9033,2926.69,2026-07-05,NEFT/RAZORPAY/ORD1030/SETL,SETL5036
BANK9034,1462.95,2026-07-07,NEFT/RAZORPAY/ORD1031/SETL,SETL5037
BANK9035,-499.32,2026-07-23,NEFT/RAZORPAY/REFUND/ORD1032,SETL5039
BANK9036,489.53,2026-07-18,NEFT/RAZORPAY/ORD1032/SETL,SETL5038
BANK9037,1952.55,2026-08-14,NEFT/RAZORPAY/ORD1033/SETL,SETL5040
BANK9038,1462.94,2026-08-22,NEFT/RAZORPAY/ORD1034/SETL,SETL5041
BANK9039,1463.81,2026-07-03,NEFT/RAZORPAY/ORD1035/SETL,SETL5042
BANK9040,-2249.97,2026-08-16,NEFT/RAZORPAY/REFUND/ORD1036,SETL5044
BANK9041,1953.19,2026-07-07,NEFT/RAZORPAY/ORD1037/SETL,SETL5045
BANK9042,244.66,2026-07-09,NEFT/RAZORPAY/ORD1038/SETL,SETL5046
BANK9043,1464.28,2026-08-09,NEFT/RAZORPAY/ORD1039/SETL,SETL5047
BANK9044,2929.64,2026-07-31,NEFT/RAZORPAY/ORD1040/SETL,SETL5048
BANK9045,974.39,2026-07-23,NEFT/RAZORPAY/ORD1041/SETL,SETL5049
BANK9046,-999.17,2026-07-30,NEFT/RAZORPAY/REFUND/ORD1042,SETL5051
BANK9047,975.59,2026-07-30,RZRPAY SETTLEMENT CR,SETL5050
BANK9048,1464.87,2026-08-07,RZRPAY SETTLEMENT CR,SETL5052
BANK9049,1462.20,2026-08-01,NEFT/RAZORPAY/ORD1045/SETL,SETL5054
BANK9050,1462.66,2026-07-07,RZRPAY SETTLEMENT CR,SETL5055
BANK9051,488.55,2026-08-19,RZRPAY SETTLEMENT CR,SETL5056
BANK9052,-419.88,2026-08-21,NEFT/RAZORPAY/REFUND/ORD1048,SETL5058
BANK9053,1952.24,2026-08-16,NEFT/RAZORPAY/ORD1048/SETL,SETL5057
BANK9054,976.79,2026-08-11,NEFT/RAZORPAY/ORD1049/SETL,SETL5059
BANK9055,973.52,2026-08-05,NEFT/RAZORPAY/ORD1050/SETL,SETL5060
BANK9056,2927.33,2026-08-06,NEFT/RAZORPAY/ORD1051/SETL,SETL5061
BANK9057,488.20,2026-08-08,RZRPAY SETTLEMENT CR,SETL5062
BANK9058,976.91,2026-08-17,NEFT/RAZORPAY/ORD1053/SETL,SETL5063
BANK9059,2928.12,2026-08-18,NEFT/RAZORPAY/ORD1054/SETL,SETL5064
BANK9060,1951.22,2026-08-07,NEFT/RAZORPAY/ORD1055/SETL,SETL5065
BANK9061,4881.76,2026-07-15,RZRPAY SETTLEMENT CR,SETL5066
BANK9062,-498.44,2026-07-23,NEFT/RAZORPAY/REFUND/ORD1057,SETL5069
BANK9063,487.78,2026-07-22,NEFT/RAZORPAY/ORD1057/SETL,SETL5067
BANK9064,489.04,2026-07-18,NEFT/RAZORPAY/ORD1058/SETL,SETL5070
BANK9065,1953.58,2026-07-16,NEFT/RAZORPAY/ORD1059/SETL,SETL5071
BANK9066,976.83,2026-07-30,NEFT/RAZORPAY/ORD1060/SETL,SETL5072
BANK9067,-497.96,2026-08-19,RZRPAY REFUND DR,SETL5074
BANK9068,484.46,2026-08-14,RZRPAY SETTLEMENT CR,SETL5073
BANK9069,1950.70,2026-07-15,NEFT/RAZORPAY/ORD1062/SETL,SETL5075
BANK9070,-700.24,2026-08-06,RZRPAY REFUND DR,SETL5077
BANK9071,1171.54,2026-08-03,RZRPAY SETTLEMENT CR (split),SETL5076
BANK9072,781.03,2026-08-02,RZRPAY SETTLEMENT CR (split),SETL5076
BANK9073,4879.76,2026-08-04,NEFT/RAZORPAY/ORD1064/SETL,SETL5078
BANK9074,974.72,2026-07-11,NEFT/RAZORPAY/ORD1065/SETL,SETL5079
BANK9075,1951.67,2026-07-08,NEFT/RAZORPAY/ORD1067/SETL,SETL5081
BANK9076,-615.21,2026-08-06,NEFT/RAZORPAY/REFUND/ORD1068,SETL5083
BANK9077,673.95,2026-08-05,RZRPAY SETTLEMENT CR (split),SETL5082
BANK9078,791.16,2026-08-05,RZRPAY SETTLEMENT CR (split),SETL5082
BANK9079,1465.50,2026-07-23,NEFT/RAZORPAY/ORD1069/SETL,SETL5084
BANK9080,4880.70,2026-08-12,RZRPAY SETTLEMENT CR,SETL5085
BANK9081,5000.00,2026-08-21,RAZORPAY/ORD1071_REFUND/settlement,SETL5086
BANK9082,-1000.00,2026-08-23,RAZORPAY/ORD1071_REFUND/refund,SETL5087
BANK9083,5000.00,2026-08-22,RAZORPAY/ORD1072_MULTI_REFUND/settlement,SETL5088
BANK9084,-300.00,2026-08-24,RAZORPAY/ORD1072_MULTI_REFUND/partial_refund,SETL5089
BANK9085,-700.00,2026-08-25,RAZORPAY/ORD1072_MULTI_REFUND/partial_refund,SETL5090
BANK9086,5000.00,2026-08-23,RAZORPAY/ORD1073_CHARGEBACK/settlement,SETL5091
BANK9087,-5000.00,2026-09-01,RAZORPAY/ORD1073_CHARGEBACK/chargeback,SETL5092
BANK9088,4500.00,2026-08-24,RAZORPAY/ORD1074_ADJUSTMENT/SETTLEMENT ADJUSTMENT,SETL5093;SETL5094
BANK9089,5000.00,2026-08-25,RAZORPAY/ORD1075_FX/settlement,SETL5095
BANK9090,5000.00,2026-08-26,RAZORPAY/ORD1076_LEDGER_DUP/settlement,SETL5096
BANK9091,3000.00,2026-08-27,RAZORPAY/ORD1077_SPLIT_PAYMENT/split_payment,SETL5097
BANK9092,2000.00,2026-08-27,RAZORPAY/ORD1077_SPLIT_PAYMENT/split_payment,SETL5098
BANK9093,5000.00,2026-08-28,RAZORPAY/ORD1078_CASHBACK/settlement,SETL5099
BANK9094,200.00,2026-08-29,RAZORPAY/ORD1078_CASHBACK/cashback_adjustment,SETL5100
BANK9095,412.58,2026-07-31,UNKNOWN CREDIT - BANK REF,
BANK9096,341.59,2026-08-05,UNKNOWN CREDIT - BANK REF,
BANK9097,634.01,2026-07-25,UNKNOWN CREDIT - BANK REF,
