settlement_id,order_id,gross_amount,fee,tax,net_amount,settlement_date,type
SETL5001,ORD1001,247.10,4.94,0.89,241.27,2026-07-25,settlement
SETL5002,ORD1002,499.02,9.98,1.80,487.24,2026-07-04,settlement
SETL5003,ORD1003,2998.69,59.97,10.79,2927.93,2026-07-19,settlement
SETL5004,ORD1004,249.92,5.00,0.90,244.02,2026-08-05,settlement
SETL5005,ORD1004,-112.46,0,0,-112.46,2026-08-08,partial_refund
SETL5006,ORD1005,3000.34,60.01,10.80,2929.53,2026-07-12,settlement
SETL5007,ORD1006,1498.52,29.97,5.39,1463.16,2026-08-11,settlement
SETL5008,ORD1007,997.26,19.95,3.59,973.72,2026-08-08,settlement
SETL5009,ORD1008,1999.16,39.98,7.20,1951.98,2026-08-08,settlement
SETL5010,ORD1009,247.61,4.95,0.89,241.77,2026-07-12,settlement
SETL5011,ORD1010,249.72,4.99,0.90,243.83,2026-07-09,settlement
SETL5012,ORD1011,2998.05,59.96,10.79,2927.30,2026-08-03,settlement
SETL5013,ORD1012,4997.65,99.95,17.99,4879.71,2026-08-05,settlement
SETL5014,ORD1012,4997.65,99.95,17.99,4879.71,2026-08-05,duplicate_settlement
SETL5015,ORD1013,2000.79,40.02,7.20,1953.57,2026-07-08,settlement
SETL5016,ORD1014,4999.43,99.99,18.00,4881.44,2026-07-15,settlement
SETL5017,ORD1015,1497.48,29.95,5.39,1462.14,2026-07-24,settlement
SETL5018,ORD1015,-1497.48,0,0,-1497.48,2026-07-26,refund
SETL5019,ORD1016,1997.95,39.96,7.19,1950.80,2026-08-14,settlement
SETL5020,ORD1017,2998.72,59.97,10.79,2927.96,2026-07-29,settlement
SETL5021,ORD1018,497.77,9.96,1.79,486.02,2026-08-05,settlement
SETL5022,ORD1019,4997.06,99.94,17.99,4879.13,2026-07-07,settlement
SETL5023,ORD1020,1498.06,29.96,5.39,1462.71,2026-08-01,settlement
SETL5024,ORD1021,2999.17,59.98,10.80,2928.39,2026-07-23,settlement
SETL5025,ORD1021,-2999.17,0,0,-2999.17,2026-07-25,refund
SETL5026,ORD1022,4997.94,99.96,17.99,4879.99,2026-07-10,settlement
SETL5027,ORD1023,997.82,19.96,3.59,974.27,2026-08-16,settlement
SETL5028,ORD1024,2000.98,40.02,7.20,1953.76,2026-07-06,settlement
SETL5029,ORD1025,4999.17,99.98,18.00,4881.19,2026-07-22,settlement
SETL5030,ORD1025,4999.17,99.98,18.00,4881.19,2026-07-22,duplicate_settlement
SETL5031,ORD1026,997.46,19.95,3.59,973.92,2026-07-08,settlement
SETL5032,ORD1027,4997.20,99.94,17.99,4879.27,2026-08-11,settlement
SETL5033,ORD1028,2998.71,59.97,10.79,2927.95,2026-07-02,settlement
SETL5034,ORD1028,-1349.42,0,0,-1349.42,2026-07-04,partial_refund
SETL5035,ORD1029,4997.65,99.95,17.99,4879.71,2026-07-21,settlement
SETL5036,ORD1030,2997.43,59.95,10.79,2926.69,2026-07-05,settlement
SETL5037,ORD1031,1498.31,29.97,5.39,1462.95,2026-07-07,settlement
SETL5038,ORD1032,499.32,9.99,1.80,487.53,2026-07-18,settlement
SETL5039,ORD1032,-499.32,0,0,-499.32,2026-07-21,refund
SETL5040,ORD1033,1999.75,40.00,7.20,1952.55,2026-08-13,settlement
SETL5041,ORD1034,1498.30,29.97,5.39,1462.94,2026-08-22,settlement
SETL5042,ORD1035,1499.19,29.98,5.40,1463.81,2026-07-03,settlement
SETL5043,ORD1036,4999.94,100.00,18.00,4881.94,2026-08-14,settlement
SETL5044,ORD1036,-2249.97,0,0,-2249.97,2026-08-16,partial_refund
SETL5045,ORD1037,2000.40,40.01,7.20,1953.19,2026-07-07,settlement
SETL5046,ORD1038,250.57,5.01,0.90,244.66,2026-07-09,settlement
SETL5047,ORD1039,1499.67,29.99,5.40,1464.28,2026-08-07,settlement
SETL5048,ORD1040,3000.45,60.01,10.80,2929.64,2026-07-30,settlement
SETL5049,ORD1041,997.94,19.96,3.59,974.39,2026-07-23,settlement
SETL5050,ORD1042,999.17,19.98,3.60,975.59,2026-07-29,settlement
SETL5051,ORD1042,-999.17,0,0,-999.17,2026-07-30,refund
SETL5052,ORD1043,1499.15,29.98,5.40,1463.77,2026-08-06,settlement
SETL5053,ORD1044,1500.68,30.01,5.40,1465.27,2026-08-11,settlement
SETL5054,ORD1045,1497.54,29.95,5.39,1462.20,2026-07-31,settlement
SETL5055,ORD1046,1498.01,29.96,5.39,1462.66,2026-07-07,settlement
SETL5056,ORD1047,500.36,10.01,1.80,488.55,2026-08-18,settlement
SETL5057,ORD1048,1999.43,39.99,7.20,1952.24,2026-08-16,settlement
SETL5058,ORD1048,-419.88,0,0,-419.88,2026-08-19,partial_refund
SETL5059,ORD1049,1000.40,20.01,3.60,976.79,2026-08-10,settlement
SETL5060,ORD1050,997.05,19.94,3.59,973.52,2026-08-04,settlement
SETL5061,ORD1051,2998.08,59.96,10.79,2927.33,2026-08-06,settlement
SETL5062,ORD1052,500.00,10.00,1.80,488.20,2026-08-07,settlement
SETL5063,ORD1053,1000.52,20.01,3.60,976.91,2026-08-16,settlement
SETL5064,ORD1054,2998.90,59.98,10.80,2928.12,2026-08-16,settlement
SETL5065,ORD1055,1998.38,39.97,7.19,1951.22,2026-08-06,settlement
SETL5066,ORD1056,4999.76,100.00,18.00,4881.76,2026-07-15,settlement
SETL5067,ORD1057,498.44,9.97,1.79,486.68,2026-07-21,settlement
SETL5068,ORD1057,498.44,9.97,1.79,486.68,2026-07-21,duplicate_settlement
SETL5069,ORD1057,-498.44,0,0,-498.44,2026-07-22,refund
SETL5070,ORD1058,500.86,10.02,1.80,489.04,2026-07-18,settlement
SETL5071,ORD1059,2000.80,40.02,7.20,1953.58,2026-07-14,settlement
SETL5072,ORD1060,1000.44,20.01,3.60,976.83,2026-07-30,settlement
SETL5073,ORD1061,497.96,9.96,1.79,486.21,2026-08-13,settlement
SETL5074,ORD1061,-497.96,0,0,-497.96,2026-08-17,refund
SETL5075,ORD1062,1999.64,39.99,7.20,1952.45,2026-07-14,settlement
SETL5076,ORD1063,2000.68,40.01,7.20,1953.47,2026-07-31,settlement
SETL5077,ORD1063,-700.24,0,0,-700.24,2026-08-04,partial_refund
SETL5078,ORD1064,4997.70,99.95,17.99,4879.76,2026-08-04,settlement
SETL5079,ORD1065,998.28,19.97,3.59,974.72,2026-07-09,settlement
SETL5080,ORD1066,998.01,19.96,3.59,974.46,2026-07-10,settlement
SETL5081,ORD1067,1998.85,39.98,7.20,1951.67,2026-07-06,settlement
SETL5082,ORD1068,1500.52,30.01,5.40,1465.11,2026-08-03,settlement
SETL5083,ORD1068,-615.21,0,0,-615.21,2026-08-06,partial_refund
SETL5084,ORD1069,1500.92,30.02,5.40,1465.50,2026-07-23,settlement
SETL5085,ORD1070,4998.66,99.97,17.99,4880.70,2026-08-11,settlement
